time,pick,opponent,rank,surface,cloq_probability
19:50,Denis Shapovalov,Miomir Kecmanović,(68),Hard,0.588
21:30,Kimberly Birrell,Petra Marčinko,(69),Hard,0.5516
17:00,Renata Zarazua,Polina Iatcenko,(73),Hard,0.563
19:20,Jenson Brooksby,Jaime Faria,(77),Hard,0.5415
21:00,Jacob Fearnley,Martin Landaluce,(110),Hard,0.5307
21:30,Taylah Preston,Alycia Parks,(101),Hard,0.5164
17:00,Talia Gibson,Donna Vekić,(65),Hard,0.527
17:00,Kamil Majchrzak,Hamad Medjedović,(72),Hard,0.5132
19:50,Aleksandar Vukić,Rei Sakamoto,(105),Hard,0.5324
18:40,Tomaš Machač,Toby Samuel,(54),Hard,0.5039
